,,bg1,bg1,bg1,bg1,bg1,bg1,bg1,bg1,bg1,bg1,bg1,bg1,bg1,bg2,bg2,bg2,bg2,bg2,bg2,bg2,bg2,bg2,bg2,bg2,bg2,bg2,no_bg,no_bg,no_bg,no_bg,no_bg,no_bg,no_bg,no_bg,no_bg,no_bg,no_bg,no_bg,no_bg
,,x,success,status,method,nfev,fjac,r,qtf,fun,message,A1,tau1,tau2,x,success,status,method,nfev,fjac,r,qtf,fun,message,A1,tau1,tau2,x,success,status,method,nfev,fjac,r,qtf,fun,message,A1,tau1,tau2
0,0,[0.49144237 2.41697472 3.15511536],True,1,hybr,9,"[[-4.20994038e-07  7.85644574e-01  6.18678110e-01]
 [ 5.32890101e-06 -6.18678110e-01  7.85644574e-01]
 [-1.00000000e+00 -3.62762609e-06  3.92616236e-06]]","[ 1.42366080e-01 -9.76184609e-02 -1.22344840e-01 -8.86714365e-03
  9.42970645e-03  1.06828765e-07]",[1.55138711e-09 2.86371319e-10 1.09496429e-15],[-3.33066907e-16 -3.16455750e-11 -1.25424116e-11],The solution converged.,0.4914423694223141,2.416974723372215,3.155115355840014,[0.19787682 2.79670899 2.79647654],False,4,hybr,55,"[[ 0.          0.93071804  0.36573751]
 [-0.0030845  -0.36573578  0.93071361]
 [-0.99999524  0.00112812 -0.0028708 ]]","[-3.38127996e-05 -2.88339611e-02 -1.15212553e-01 -1.72738078e-06
 -8.93152403e-06  2.75494388e-08]",[ 4.22889921e-07  1.52913450e-03 -4.71664154e-06],[ 0.         -0.00055937  0.00142316],"The iteration is not making good progress, as measured by the 
  improvement from the last five Jacobian evaluations.",0.1978768244573686,2.796708990715117,2.796476541529,[0.49192436 2.44561439 3.11297836],True,1,hybr,10,"[[-4.21571711e-07  7.85904125e-01  6.18348369e-01]
 [ 5.87831607e-06 -6.18348369e-01  7.85904125e-01]
 [-1.00000000e+00 -3.96616210e-06  4.35911467e-06]]","[ 1.42240171e-01 -9.71562060e-02 -1.22084773e-01 -8.01087787e-03
  8.21498203e-03  1.04611541e-07]",[-6.07985501e-13 -2.39839106e-13 -1.15354058e-18],[0.00000000e+00 2.22044605e-16 0.00000000e+00],The solution converged.,0.4919243602979409,2.4456143858583568,3.1129783600519287
0,1,[0.50550432 2.20863259 3.24460652],True,1,hybr,12,"[[-4.04822472e-07  7.83874177e-01  6.20919700e-01]
 [ 2.87632118e-06 -6.20919700e-01  7.83874177e-01]
 [-1.00000000e+00 -2.10329437e-06  2.00331165e-06]]","[ 1.47987342e-01 -8.00248559e-02 -1.34001426e-01 -1.35670655e-02
  1.46253669e-02  1.00731470e-07]",[ 2.90517259e-10 -3.74783998e-12 -1.28387907e-16],[ 0.00000000e+00 -8.79385453e-12 -1.64568914e-11],The solution converged.,0.5055043155758829,2.208632587306105,3.244606516704197,[0.50329613 2.32590659 3.12372565],True,1,hybr,10,"[[-6.29182231e-07  9.27748224e-01  3.73206688e-01]
 [ 1.74326148e-05 -3.73206688e-01  9.27748224e-01]
 [-1.00000000e+00 -7.08969115e-06  1.59382624e-05]]","[ 9.52838648e-02 -7.60157032e-02 -7.25324052e-02 -3.10620935e-03
  2.29359687e-03  9.03359715e-08]",[-6.62753100e-10 -9.29825444e-11 -8.70869502e-16],[-2.22044605e-16 -1.06585851e-10 -4.14412393e-11],The solution converged.,0.5032961258310702,2.3259065865666173,3.1237256517545045,[0.50624593 2.22663677 3.21269854],True,1,hybr,12,"[[-3.92880089e-07  7.83771469e-01  6.21049342e-01]
 [ 3.71621018e-06 -6.21049342e-01  7.83771469e-01]
 [-1.00000000e+00 -2.61587809e-06  2.66866159e-06]]","[ 1.52755652e-01 -1.08076667e-01 -1.08760190e-01 -1.29604232e-02
  1.36552581e-02  9.86919123e-08]",[-2.59789593e-10  1.76121430e-12  1.08611201e-16],[0.00000000e+00 7.44371231e-12 1.36419764e-11],The solution converged.,0.506245930944186,2.2266367675049974,3.212698536133151
0,2,[0.46527405 2.81409694 2.8159971 ],False,5,hybr,30,"[[ 2.37001220e-08 -7.97596642e-01 -6.03191178e-01]
 [-8.54210435e-05 -6.03191176e-01  7.97596639e-01]
 [ 9.99999996e-01 -5.15063167e-05  6.81458331e-05]]","[-5.02638122e-04  1.04580845e-01  1.14674361e-01 -6.39880553e-05
 -2.63595750e-06  4.99240522e-09]",[3.70614224e-07 8.54037500e-04 7.29527661e-08],[ 2.22044605e-16 -5.13891728e-04  6.82113263e-04],"The iteration is not making good progress, as measured by the 
  improvement from the last ten iterations.",0.46527405262960203,2.814096941957187,2.815997100422757,[0.50034507 1.82669018 3.79088055],True,1,hybr,15,"[[-6.29557072e-07  9.26934192e-01  3.75223938e-01]
 [ 7.15869608e-06 -3.75223938e-01  9.26934192e-01]
 [-1.00000000e+00 -3.26967211e-06  6.39941529e-06]]","[ 9.50530945e-02 -7.43798208e-02 -7.29036209e-02 -7.79757665e-03
  6.95107771e-03  9.78310823e-08]",[ 1.20296054e-11 -2.48859168e-11 -4.07768643e-16],[ 2.22044605e-16  2.04884443e-11 -1.85538113e-11],The solution converged.,0.500345071277556,1.8266901771853223,3.790880553500509,[0.40838427 2.80450453 2.80395143],False,5,hybr,37,"[[ 2.33640501e-04  6.01789356e-01  7.98654817e-01]
 [-8.30944952e-04  7.98654680e-01 -6.01789009e-01]
 [ 9.99999627e-01  5.23035903e-04 -6.86651907e-04]]","[ 1.56127226e-04 -8.70118186e-02 -1.24955082e-01 -2.44783095e-02
 -3.53096756e-02 -1.48503728e-07]",[ 3.93940418e-04 -1.37224017e-03 -1.23229694e-06],[-2.22044605e-16 -8.58877530e-04  1.14042231e-03],"The iteration is not making good progress, as measured by the 
  improvement from the last ten iterations.",0.40838426716154275,2.8045045333045566,2.8039514307826736
0,3,[0.50396572 2.30519742 3.14161693],True,1,hybr,11,"[[-4.20094493e-07  7.84040532e-01  6.20709629e-01]
 [ 4.09486644e-06 -6.20709629e-01  7.84040532e-01]
 [-1.00000000e+00 -2.87109414e-06  2.94978457e-06]]","[ 1.42713693e-01 -9.51490856e-02 -1.24534001e-01 -1.12830434e-02
  1.11966094e-02  1.02927114e-07]",[-1.38017367e-10  7.49314104e-12  8.86637479e-17],[2.22044605e-16 1.28463906e-12 3.64214214e-12],The solution converged.,0.5039657184480174,2.305197423160654,3.1416169345881184,[0.50726839 2.12857773 3.32395208],True,1,hybr,15,"[[-5.65721552e-07  9.30453247e-01  3.66410637e-01]
 [ 1.05628762e-05 -3.66410637e-01  9.30453247e-01]
 [-1.00000000e+00 -4.39672765e-06  9.62097608e-06]]","[ 1.25869566e-01 -8.06439612e-02 -5.43142839e-02 -6.95979904e-03
  2.46070009e-03  6.57516288e-08]",[1.81841581e-10 1.05749573e-11 8.83026312e-18],[ 0.00000000e+00 -1.82923676e-11 -9.02383723e-12],The solution converged.,0.5072683948044421,2.128577725561365,3.323952076430772,[0.50459897 2.32813083 3.10482035],True,1,hybr,10,"[[-4.20408732e-07  7.83803626e-01  6.21008756e-01]
 [ 4.46627943e-06 -6.21008756e-01  7.83803626e-01]
 [-1.00000000e+00 -3.10311653e-06  3.23960851e-06]]","[ 1.42634352e-01 -9.92791383e-02 -1.21587918e-01 -1.07173198e-02
  1.00604326e-02  1.00906979e-07]",[-6.81030344e-10 -2.18212134e-10 -6.88285264e-16],[-4.44089210e-16  8.95394869e-13  2.73131517e-12],The solution converged.,0.5045989682165017,2.328130830880203,3.1048203482180385
0,4,[0.50427324 2.27864673 3.17136132],True,1,hybr,12,"[[-7.28073140e-07  7.83040407e-01  6.21970836e-01]
 [ 8.17893980e-06 -6.21970836e-01  7.83040407e-01]
 [-1.00000000e+00 -5.65717271e-06  5.95160009e-06]]","[ 1.86478504e-01 -7.90409306e-02 -1.18923903e-01 -1.15873558e-02
  1.23654897e-02  2.00811585e-07]",[-1.47929490e-10  2.38123951e-11  8.04190291e-17],[ 0.00000000e+00 -6.16340312e-12 -4.05464551e-12],The solution converged.,0.5042732422990457,2.2786467342531505,3.1713613212892673,[0.50699599 2.13314607 3.32154621],True,1,hybr,15,"[[-7.73789546e-07  9.30357427e-01  3.66653868e-01]
 [ 1.03513290e-05 -3.66653868e-01  9.30357427e-01]
 [-1.00000000e+00 -4.51525567e-06  9.34672290e-06]]","[ 1.22466343e-01 -6.11315344e-02 -7.48277754e-02 -6.59308635e-03
  1.77943962e-03  1.15308713e-07]",[-1.05246908e-10 -6.27704960e-12  1.64631512e-17],[2.22044605e-16 2.70134470e-11 1.18805660e-11],The solution converged.,0.5069959868323135,2.1331460666582225,3.321546206259725,[0.50494032 2.29988406 3.13628952],True,1,hybr,14,"[[ 1.33775847e-07  7.85492317e-01  6.18871408e-01]
 [-3.80004521e-06 -6.18871408e-01  7.85492317e-01]
 [-1.00000000e+00  2.45681923e-06 -2.90211627e-06]]","[ 1.64321487e-01 -8.79068533e-02 -1.06158976e-01 -1.18325135e-02
  1.03842196e-02 -1.25931556e-07]",[-2.61481699e-11 -2.43556150e-12 -3.27309657e-16],[ 1.11022302e-16 -5.41899858e-13 -5.16253706e-13],The solution converged.,0.5049403246988332,2.299884062853686,3.1362895207607
0,5,[-2.27235116  2.55639189  2.61469832],True,1,hybr,33,"[[-5.24191554e-07  7.64259753e-01  6.44908544e-01]
 [ 6.44609303e-05 -6.44908542e-01  7.64259751e-01]
 [-9.99999998e-01 -4.19720232e-05  4.89268391e-05]]","[ 1.25099234e-02  4.82463616e-01 -7.09264389e-01  3.74250555e-03
  5.35859032e-03  7.31457617e-07]",[-9.81041127e-09 -1.20965586e-10 -2.87706413e-15],[ 0.00000000e+00 -1.11022302e-16 -2.22044605e-16],The solution converged.,-2.272351160936233,2.5563918905776624,2.61469832257318,[0.50301936 2.16500566 3.33042322],True,1,hybr,12,"[[-6.26518429e-07  9.27164008e-01  3.74655712e-01]
 [ 1.16504951e-05 -3.74655712e-01  9.27164008e-01]
 [-1.00000000e+00 -4.94580987e-06  1.05671910e-05]]","[ 9.57105639e-02 -7.78823718e-02 -7.33660349e-02 -4.71455359e-03
  3.46797590e-03  9.12226308e-08]",[4.95507290e-10 1.32084056e-10 1.22840020e-15],[-2.22044605e-16 -1.85962357e-14 -1.39471767e-14],The solution converged.,0.5030193568419797,2.1650056601158623,3.3304232170195127,[0.49818851 2.7322031  2.73233246],False,5,hybr,45,"[[-4.25688480e-04 -7.65296532e-01 -6.43677743e-01]
 [-1.28169247e-02  6.43629105e-01 -7.65230228e-01]
 [-9.99917769e-01 -7.92421945e-03  1.00827335e-02]]","[-1.05465565e-04  1.13108392e-01  1.13875348e-01 -3.75667250e-03
 -3.78089515e-03 -2.95538823e-08]",[-4.23614744e-05 -1.27410899e-03  1.63495361e-05],[ 0.         -0.00078776  0.00100242],"The iteration is not making good progress, as measured by the 
  improvement from the last ten iterations.",0.49818850708491497,2.732203100935897,2.7323324566140252
0,6,[0.64229434 2.75811563 2.75774112],False,5,hybr,40,"[[-1.16696584e-04  7.84166706e-01  6.20550211e-01]
 [ 1.26475420e-02  6.20501739e-01 -7.84103075e-01]
 [ 9.99920010e-01 -7.75693271e-03  9.99019179e-03]]","[-1.98831045e-04 -1.44257504e-01 -8.03884263e-02 -1.33018370e-03
 -7.18214904e-04 -2.97425704e-07]",[ 2.00963163e-05 -2.24067509e-03  2.83436447e-05],[ 2.22044605e-16 -1.37430560e-03  1.77005689e-03],"The iteration is not making good progress, as measured by the 
  improvement from the last ten iterations.",0.6422943375025989,2.758115634667283,2.757741115678622,[0.49479931 2.40501959 3.12874728],True,1,hybr,9,"[[-6.30459701e-07  9.28037933e-01  3.72485697e-01]
 [ 2.15995566e-05 -3.72485697e-01  9.28037933e-01]
 [-1.00000000e+00 -8.63061640e-06  1.98103706e-05]]","[ 9.51122349e-02 -7.39076176e-02 -7.39012448e-02 -2.44115837e-03
  1.87886362e-03  9.20281792e-08]",[-4.07610034e-12  2.26517599e-12  5.14966139e-17],[-2.22044605e-16 -1.21569421e-14  4.85722573e-16],The solution converged.,0.4947993050345601,2.4050195892899064,3.1287472756230676,[0.49147083 2.74720665 2.74670279],False,5,hybr,39,"[[-2.81137372e-07  7.87858120e-01  6.15856788e-01]
 [-3.06013083e-04 -6.15856759e-01  7.87858083e-01]
 [-9.99999953e-01  1.88238738e-04 -2.41268033e-04]]","[-1.13708097e-04 -1.11262242e-01 -1.14439225e-01  8.44903121e-05
  7.05278428e-05  5.16659466e-09]",[ 1.89180704e-06  2.86216695e-03 -8.75861105e-07],[ 0.         -0.00176119  0.00225615],"The iteration is not making good progress, as measured by the 
  improvement from the last ten iterations.",0.4914708258643923,2.7472066454289257,2.746702788564986
0,7,[0.49394164 2.69633934 2.77129686],True,1,hybr,19,"[[-1.77406510e-06  7.86408451e-01  6.17706847e-01]
 [ 2.11524482e-04 -6.17706833e-01  7.86408433e-01]
 [-9.99999978e-01 -1.32055260e-04  1.65248788e-04]]","[ 1.70049329e-02 -1.10802625e-01 -1.16053412e-01 -9.55433193e-04
  9.69447430e-04  4.16325145e-07]",[-1.15057538e-15  6.91987505e-16  1.48413497e-19],[2.22044605e-16 2.22044605e-16 1.11022302e-16],The solution converged.,0.49394164271795116,2.69633933991493,2.771296862264824,[0.43189624 2.74232206 2.74230298],False,5,hybr,41,"[[-3.11451425e-07  9.29147765e-01  3.69708575e-01]
 [-3.62810349e-01 -3.44517847e-01  8.65838382e-01]
 [-9.31863000e-01  1.34133828e-01 -3.37104532e-01]]","[-3.85190865e-06 -6.46173610e-02 -8.53454840e-02  6.29586597e-08
 -7.69568224e-08  6.14023878e-08]",[-1.09048734e-09  2.83003135e-03 -1.10184079e-03],[-3.33066907e-16 -1.12276619e-03  2.82179493e-03],"The iteration is not making good progress, as measured by the 
  improvement from the last ten iterations.",0.4318962354542748,2.7423220640652843,2.7423029805444643,[0.4806556  2.72361597 2.72362543],False,4,hybr,46,"[[-4.55947247e-05 -7.85027172e-01 -6.19461328e-01]
 [ 1.29416923e-01 -6.14256457e-01  7.78421650e-01]
 [ 9.91590267e-01  8.01332871e-02 -1.01623808e-01]]","[ 6.80329330e-04  1.09556074e-01  1.18399590e-01  3.85553215e-05
 -3.81299298e-05  1.04206901e-05]",[ 6.06034769e-07  5.74613446e-04 -7.49953674e-05],[ 0.         -0.00035879  0.00045498],"The iteration is not making good progress, as measured by the 
  improvement from the last five Jacobian evaluations.",0.48065559818504655,2.7236159749011906,2.723625431244468
0,8,[0.5162827  2.07284301 3.28300218],True,1,hybr,12,"[[-4.21159219e-07  7.81127994e-01  6.24370929e-01]
 [ 2.69968301e-06 -6.24370929e-01  7.81127994e-01]
 [-1.00000000e+00 -2.01458285e-06  1.84583840e-06]]","[ 1.42383584e-01 -9.61555553e-02 -1.25250290e-01 -1.72667568e-02
  1.83082370e-02  1.07041963e-07]",[-1.12572386e-09 -3.12675571e-10 -3.70015949e-16],[-2.22044605e-16  9.71678293e-12  4.02164413e-11],The solution converged.,0.5162826981620172,2.072843006021036,3.283002176359722,[0.48106328 3.87214721 1.38346008],True,1,hybr,26,"[[ 0.07258662 -0.85605527 -0.5117622 ]
 [ 0.55720238  0.4603779  -0.69106996]
 [-0.82719809  0.23499269 -0.51041331]]",[ 0.3742484   0.07414417  0.04641023 -0.01739812  0.03471151  0.02960032],[-2.62142318e-17  5.43276741e-17  3.42949376e-17],[ 0.00000000e+00  5.55111512e-17 -4.16333634e-17],The solution converged.,0.48106328335793824,3.8721472140168487,1.383460081847399,[0.5170781  2.08712794 3.25512841],True,1,hybr,13,"[[-3.81781685e-07  7.83017531e-01  6.21999636e-01]
 [ 1.70647196e-06 -6.21999636e-01  7.83017531e-01]
 [-1.00000000e+00 -1.36036669e-06  1.09872939e-06]]","[ 1.56989559e-01 -6.53423297e-02 -1.23440361e-01 -1.83319354e-02
  1.71289950e-02  8.10638907e-08]",[-3.87343320e-10  1.23914891e-11  1.69026314e-16],[0.00000000e+00 4.48296955e-11 5.78376236e-11],The solution converged.,0.5170780975087553,2.087127944877679,3.255128413452158
