,,no_bg,no_bg,no_bg,no_bg,no_bg,bg,bg,bg,bg,bg
,,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev
0,0,0.7148308895551393,2.7067496725429594,2.848801350107525,False,45,0.00878817409225672,0.471195565541668,2.7638804462927733,False,74
0,1,0.43084541410611404,2.237280904295815,3.188426927382964,True,14,0.5064835890175801,2.2942884966514043,3.2932629063046157,True,19
0,2,0.8456497540509348,2.7134972155164356,2.748506728285771,False,28,0.009358319430955974,11.310395655061749,2.6560571847307357,False,192
0,3,0.2056029102742398,0.07361252862818542,2.8408383813404705,False,82,0.2818358791538874,0.04326686888743535,2.855397126539691,False,96
0,4,0.03831175945350612,1.0843217121456585,2.8150369174904943,False,95,0.05389951753447083,1.289307433979957,2.842356937445373,False,85
0,5,0.8060103019479367,2.775318061129857,3.06921384121704,False,69,0.9423722861924247,2.7846281671289783,3.7394436463726883,False,60
0,6,0.9914051257641051,2.6022944345684773,44.46353579540926,False,159,0.9886277594338504,2.598771420571864,24.14181668606682,False,179
0,7,0.9454899951406974,2.7867569873467857,3.6700454084043352,False,51,0.9101230292374717,2.787995675997288,3.427572208028702,False,65
0,8,0.9362875925324793,2.7494782841488874,3.101585283627906,False,44,0.497,2.43,3.07,False,17
0,9,0.9821893993127249,2.707882614933884,4.762738269957165,False,114,0.9768329750535761,2.67269946632807,6.05847302909328,False,143
0,10,0.497,2.43,3.07,False,17,0.497,2.43,3.07,False,17
0,11,0.9874767507020471,2.646082321913111,12.146742651595082,False,173,0.9900783804929073,2.650832264457424,19.022325360775643,False,223
0,12,0.497,2.43,3.07,False,17,0.9580413324315163,2.672939537200424,5.348551647730144,False,105
0,13,0.3069940059879693,0.039295859468619236,2.851792036033243,False,119,0.3654240851670444,0.023047157287903193,2.865505407910064,False,138
0,14,0.9355949369690955,2.6934025759316165,3.3679332986389063,False,55,0.9480873052403408,2.7018956381627164,3.558509811524106,False,66
0,15,0.9917281339337047,2.6425690091467633,30.510922106010636,False,216,0.9912783745929905,2.6438585514644948,32.925499089637285,False,222
0,16,0.3620016806924493,0.014447172229123107,2.843211699387853,False,148,0.36597956847879176,0.02031326361423229,2.8567540188175657,False,156
0,17,0.497,2.43,3.07,False,17,0.497,2.43,3.07,False,17
0,18,0.497,2.43,3.07,False,17,0.3192559603660733,0.023556538133126956,2.8455424325159187,False,101
0,19,0.497,2.43,3.07,False,17,0.497,2.43,3.07,False,17
0,20,0.9398096333640361,2.7090592831530182,3.7001802610177297,False,52,1.127091494250004,2.844822205136418,3.3083900032536513,False,156
0,21,0.19470082325980193,0.025042735100541745,2.801471281892244,False,129,0.23778974674599584,0.013757142592771268,2.8151458998690284,False,158
0,22,0.7187354835966718,2.8258873517974807,2.847470018438981,False,38,0.9994711519663617,2.8419594806402317,2.9805378764157866,False,45
0,23,0.06717515008665956,0.618771585234492,2.8468634040003953,False,67,0.07090747112700459,0.7427807721026342,2.8674423018697963,False,63
0,24,0.048649788320681966,0.5126263909250309,2.804893826329974,False,85,0.05028175829310511,0.7149165773105988,2.825102563540356,False,68
0,25,0.497,2.43,3.07,False,17,0.497,2.43,3.07,False,17
0,26,1.2673889334595738,2.8090357501319394,2.9319175308295597,False,63,0.497,2.43,3.07,False,17
0,27,0.4740651762677078,0.008547595753416178,2.8330982997730967,False,120,0.4794520129640515,0.014566228067088398,2.8468205171433376,False,144
0,28,0.9761436181995671,2.743554743506423,3.8968719706486343,False,86,0.8887682641696205,2.702255969490116,3.3913764666837296,False,60
0,29,0.8259454467432972,2.668890251644031,3.2623839182078984,False,39,1.0598710290156452,2.803820078281649,3.0746476219983765,False,70
0,30,0.497,2.43,3.07,False,17,0.497,2.43,3.07,False,17
0,31,0.45707138194267766,0.016438931107494267,2.8124633513152384,False,137,0.4678701945835183,0.017088069501451877,2.8263346311334447,False,156
0,32,1.017682314469835,2.82274025408214,3.338391136324504,False,56,1.0309848754600837,2.832116965194423,3.214723650502793,False,65
0,33,0.23968960927124328,0.021932438031568205,2.761814442303859,False,170,0.27192382712525015,0.017037339959494684,2.7754523749688422,False,212
0,34,0.497,2.43,3.07,False,17,0.497,2.43,3.07,False,17
0,35,0.4364691534109216,0.01990310037615963,2.784163124023797,False,137,0.4427534111243528,0.02261001838679239,2.797815321227503,False,142
0,36,0.9925312504003175,2.6665388027791197,11.427641370950047,False,154,0.9928563587350139,2.668974505309339,14.199069467568263,False,189
0,37,0.003319434820127585,0.8475914375659203,2.813768177542847,False,58,0.01731721746159242,0.30776013342011627,2.8319243238444805,False,65
0,38,0.497,2.43,3.07,False,17,0.497,2.43,3.07,False,17
0,39,0.497,2.43,3.07,False,17,0.3871009201540301,0.022337778991776795,2.789480672543625,False,112
0,40,1.020697985827746,2.7982578817415096,3.5094265079320506,False,125,0.7797598965584306,2.6982159044772174,3.1125289157363065,False,54
0,41,0.029233488100690413,0.28089357466627696,2.792008931241318,False,74,0.0036296457322271894,2.778637297180019,2.788319749313833,False,43
0,42,0.15824943597591215,0.053474674600525976,2.8055451567252128,False,104,0.05542136193659733,0.249707256655341,2.8155049669676857,False,71
0,43,0.5351437387312299,0.01803246451328296,2.827481169523668,False,110,0.546475396511585,0.016960896553668937,2.841385489434951,False,133
0,44,0.11314288983928489,0.6480513635471183,2.84259370863531,True,55,0.11688224266411523,0.7178779067025983,2.862983047226869,True,63
0,45,0.06402446164678044,0.5504974300242467,2.8435331906552967,False,97,0.06588562713586041,0.6921047639986517,2.8634627144879405,False,82
0,46,0.23967685407221362,0.04673663261552896,2.7780797618797295,False,105,0.497,2.43,3.07,False,17
0,47,0.8924019078373591,2.5664233367093794,4.222199507535281,False,51,0.9772739144349768,2.6529643612350857,7.678294241764135,False,92
0,48,0.43688187424824854,0.01963661750612162,2.788375822235436,False,137,0.45860779441139693,0.015989747767134067,2.8026776940333558,False,157
0,49,1.1576566604485687,2.8326758893091717,2.944056668173555,False,75,0.9486092566622135,2.8040256768506584,3.187628328279033,False,48
0,50,0.6304343078228746,0.018718430916693837,2.931353808403026,False,136,0.497,2.43,3.07,False,17
0,51,0.497,2.43,3.07,False,17,0.497,2.43,3.07,False,17
0,52,2.4230801138506552,2.5536884958919637,2.350119646464734,False,135,2.4286889858291576,2.6157743045941952,2.4552060527344524,False,149
0,53,0.084572117297112,2.7238100578558444,2.7529082844774546,False,49,0.11098011526462466,2.7195888529720036,2.7657624142768475,False,57
0,54,0.012562267146002955,0.331840006647925,2.806012575215939,False,67,0.02378082334504167,0.3603344694042695,2.8229521023998574,False,57
0,55,0.497,2.43,3.07,False,17,0.497,2.43,3.07,False,17
0,56,0.9910399050474946,2.6018417778254053,44.43337417627139,False,234,0.97838304232898,2.587665172777819,10.26834399735043,False,135
0,57,1.0476098529948836,2.7651059239820137,2.944247981917474,False,53,1.1103657696466702,2.785019214133027,2.9565374329873646,False,97
0,58,0.2851160955791694,0.02131414817120947,2.683227982964125,False,119,0.040877888597876215,2.5550790046834195,2.662316308766436,False,49
0,59,0.9977894806019822,2.7777167326130505,4.793175289356388,False,67,1.0099816529161953,2.7969742360586256,3.090469707307317,False,64
0,60,0.29294332822011054,0.038823276987641785,2.846008648355321,False,96,0.3093316761449477,0.03855971800823046,2.8601828213672733,False,109
0,61,0.928608265822116,2.7696566133546687,3.3327742102949984,False,52,0.9029757902941661,2.8046521953273356,2.9793998902802445,False,71
0,62,0.497,2.43,3.07,False,17,0.38234387065341696,0.024082113420493496,2.805602206584123,False,124
0,63,0.9883738517397871,2.586398162632372,27.30333792143225,False,222,0.9904144236173833,2.58750325369437,93.65079674596484,False,265
0,64,0.497,2.43,3.07,False,17,0.497,2.43,3.07,False,17
0,65,0.9953200281732774,2.7088623168100154,17.01495182786599,False,189,0.497,2.43,3.07,False,17
0,66,0.9912478421563461,2.5925943037726107,31.258468547403083,False,193,0.9906749720229382,2.592217023173616,33.706609929620626,False,199
0,67,0.9666717356049455,2.6809139875089207,5.684433958714728,False,132,0.9779314579352867,2.692721713876064,7.355896979214015,False,159
0,68,0.9687466777696606,2.5936026311446643,6.48891843825191,False,67,0.9815416401262814,2.6102130037347653,9.62839101082442,False,149
0,69,1.0926373787555357,2.8663519043890497,3.4229350127073825,False,65,1.0888823954126392,2.8320815039235714,2.9883733732902544,False,53
0,70,0.944588908844464,2.5525735534878122,4.688157329100834,False,59,0.9611393728236639,2.56920567454795,5.4739362421201,False,72
0,71,0.9973151432515541,2.6861768442988985,7.179664232117572,False,64,0.9995423686659091,2.7013588182500836,151.7214044568608,False,78
0,72,0.497,2.43,3.07,False,17,0.9899188466140619,2.634392791290493,38.93013830759054,False,188
0,73,0.08397747858796313,0.21119017500649728,2.75747504400499,False,93,0.29883351364838323,0.0214290107280557,2.7722304256341537,False,99
0,74,0.9446997433907969,2.790449566198249,2.7480692179085695,False,52,0.16802467124392267,2.7740008937975107,2.8026062919029053,False,40
0,75,0.06539781353270245,1.8320855532540152,2.817131101648862,False,45,0.032893633925735175,0.255675531986879,2.784975849764877,False,78
0,76,0.47020262504613686,1.9592954275081538,3.2024204415660678,True,34,0.5020320257027506,1.9872627542265637,3.270701519112282,True,31
0,77,0.1841739353202936,0.17814478067635708,2.8820150610249016,False,73,0.497,2.43,3.07,False,17
0,78,0.22190768250454088,0.014912430658769594,2.7766151612868155,False,194,0.04304409894042165,0.4883333576971812,2.7946101727882433,False,100
0,79,0.9890300421823682,2.7235066873817515,8.948707378712825,False,173,0.920145815959959,2.7825062670997216,3.008352427805237,False,44
0,80,0.3036610601898381,0.009164293251968854,2.7705573066897378,False,172,0.497,2.43,3.07,False,17
0,81,0.23144529600631264,0.062461500392791545,2.760886875113779,False,94,0.497,2.43,3.07,False,17
0,82,0.11387809481219177,1.5266898726230276,2.847516072700473,True,77,0.14506859819655565,1.6346204060127134,2.887494515030562,True,77
0,83,0.9892850886933505,2.6676619580920335,16.0648065736557,False,208,0.9850760520555797,2.662632345695547,12.00703892217026,False,167
0,84,1.4671385425597494,2.806504890576552,2.909565087640863,False,150,0.9517058402116205,2.7210808071760293,3.6191133297582123,False,63
0,85,0.9993073549373036,2.7632060485624867,2.7764775344749424,False,42,0.13865279582503978,2.786380208395766,2.771075343938535,False,39
0,86,0.23502756547694645,0.013591147636840738,2.802256227030163,False,172,0.06829874363025573,0.24733500675758216,2.8171198183220056,False,89
0,87,-0.07260098260014686,2.6410568212556687,2.771837993370425,False,61,-3.4414157008193618,2.387132208818154,2.4832291361625702,False,140
0,88,0.497,2.43,3.07,False,17,0.497,2.43,3.07,False,17
0,89,0.497,2.43,3.07,False,17,0.05381232769673025,1.8003407439719104,2.856386537084499,False,53
0,90,0.497,2.43,3.07,False,17,0.497,2.43,3.07,False,17
0,91,0.8900008732365964,2.7215404068047415,3.523141792307137,False,56,0.497,2.43,3.07,False,17
0,92,0.992068656270022,2.6035522377564084,145.75711299861683,False,453,0.9840958487222741,2.5967792520378707,14.841157986598667,False,268
0,93,0.9994463018761496,2.7963244987213387,154.25558361885888,False,393,0.948738678355225,2.7596412371228882,3.7820526067841107,False,174
0,94,0.4780669051506318,0.0078116934609402874,2.830766583981352,False,144,0.497,2.43,3.07,False,17
0,95,0.9684772565979776,2.7543649362884937,3.5282247990226727,False,56,0.9507757467541738,2.7443452727122444,3.624529049411993,False,56
0,96,0.9591449706353443,2.6544388444384963,4.379561773742044,False,65,0.9766155224742873,2.6891398161235895,4.767123743965699,False,75
0,97,0.4394483659443793,0.026309404021323014,2.8262451778958377,False,126,0.497,2.43,3.07,False,17
0,98,0.11162727832894448,0.3828079857268767,2.809766385896775,True,85,0.10269575237149,0.5095417345710399,2.829268829679829,True,67
0,99,0.02976797941544253,2.627077602199325,2.810165864596867,False,49,0.0650783317152582,2.7380197388022927,2.8199604226064556,False,54
1,0,-0.1876383494821523,2.6786906557723333,2.715666135481464,False,50,0.9975862373115577,2.6954536691478252,60.77952664340872,False,306
1,1,0.050759847770570986,1.0480169341448,2.8376966271514474,False,67,0.06395694161348577,1.1979361452103179,2.863655312434368,False,72
1,2,0.19120447007063004,0.02184130282016196,2.800664097887728,False,145,0.22800529089776495,0.014140633307507724,2.8143159851039377,False,160
1,3,0.12983631388667374,3.010027247612563,2.7996447017587793,False,53,-0.041616625892562646,3.000557672502214,2.8460835851572073,False,54
1,4,0.049907815713404004,2.9203903945487513,2.7211197311874646,False,50,0.9342876564828447,2.72257709464682,2.997678507339385,False,48
1,5,0.4214489354925843,0.011920735925696962,2.8361873385710608,False,131,0.4339873771656617,0.013166151269208113,2.850099158207477,False,146
1,6,0.1172748727098342,2.6027064119605696,2.800466660351709,False,54,0.13876746707198218,2.6450988720565647,2.8105458216847072,False,52
1,7,0.827078869867153,2.711715548810379,2.747898436195562,False,25,0.9495867978017445,2.7238869997908703,2.807105529191871,False,25
1,8,0.3419589956318777,2.156772222239561,3.0591365409914637,True,16,0.4355304342928625,2.2379311207423838,3.1616657384341713,True,14
1,9,1.0170265288756235,2.759659294900327,2.7679123685214817,False,42,0.07299305587002497,2.8488408709608986,2.7630551716922405,False,42
1,10,0.9893374442626336,2.6496841300303746,15.472667844659986,False,217,0.9914637419195761,2.6538177088541635,28.135675833531604,False,223
1,11,0.24425454895408852,2.779213051748025,2.8065014084648414,False,33,0.8641748420411096,2.835615973763899,2.6430348952260645,False,47
1,12,0.9600693543547304,2.719307562490282,4.008079851817418,False,72,0.9817663298891556,2.749484082548278,4.544817963090055,False,137
1,13,0.6895183837044404,2.3349739176129725,3.6560494895167235,True,29,0.7161830187316659,2.352162814494704,3.7677492152025205,True,29
1,14,0.06507710431152522,0.5605438934413505,2.7817149477744527,False,66,0.06771983389994297,0.7074634253227678,2.802324455202239,False,78
1,15,0.9312074644879179,2.6535079261414443,3.796268920621978,False,100,0.9593043459010798,2.6714303914860387,4.399369014693644,False,148
1,16,0.497,2.43,3.07,False,17,0.497,2.43,3.07,False,17
1,17,0.497,2.43,3.07,False,17,0.497,2.43,3.07,False,17
1,18,0.9027592416773037,2.6751599075880033,3.6650880924392983,False,60,0.8925835850603904,2.686050794182986,3.5795750071781622,False,64
1,19,0.9111236824795166,2.8402125939099094,2.478662970018185,False,54,0.8383169497779673,2.844675431342768,2.6841528664991574,False,45
1,20,0.2620453182058493,0.01946030700115428,2.8182796872321383,False,183,0.06798139173177091,0.3149006806742083,2.834401038344737,False,111
1,21,0.9544200695744358,2.7562170135920474,3.6888199734262943,False,63,1.0097401248568458,2.8161015762140345,3.2349304271732575,False,115
1,22,0.05073143271953607,1.3420881326649607,2.7955179400106074,False,89,0.07729872515970802,1.54363013558804,2.8301493177289494,False,75
1,23,0.7610077998294729,2.7480714726837094,2.68188673405668,False,38,0.06667318563386265,2.5501931454493216,2.755871099638946,False,60
1,24,0.9699878477063498,2.7226565308993056,3.729641716181499,False,59,1.4820781808486303,2.9300396083486375,3.258254307820481,False,50
1,25,0.09100040223923786,0.7324485430731756,2.814400549924631,False,54,0.09719687353279548,0.8184392312548767,2.8362541356655853,False,83
1,26,0.07700380856970905,1.155577846431945,2.8399733316709974,False,61,0.09210561440432934,1.2618265659047387,2.8678643584709698,False,47
1,27,0.8943243504975296,2.5195701832478905,4.47555775826492,True,89,0.9020775664145789,2.5250478485315533,4.673936307958186,False,93
1,28,0.9448878468764322,2.8027893835780384,2.8581502672988024,False,55,0.325809659976237,2.8204589924564605,2.813860422928394,False,34
1,29,0.9958899399531228,2.7507437936330725,9.640442633835011,False,379,0.9739409863029196,2.7283349553998364,4.811685560147089,False,184
1,30,0.497,2.43,3.07,False,17,0.28923521419663595,0.021914178178032057,2.7982844558328908,False,125
1,31,0.14527499549860992,0.0482581112276011,2.7977621774632517,False,111,0.0408672959674931,0.26916356674376485,2.807038722172214,False,126
1,32,0.955997750252678,2.6563258349233387,4.731014695299312,False,105,0.497,2.43,3.07,False,17
1,33,0.2535835901030874,0.06134631185407319,2.8047693764266537,False,94,0.32923010302743777,0.03479728337200509,2.8181179484223695,False,106
1,34,-0.03593385943360214,2.466642150696749,2.7462336094032564,False,56,0.9701413566792195,2.776595661010162,2.4028159445080606,False,63
1,35,0.2364973468794399,0.012688427953889803,2.8023370178824285,False,127,0.20907417718032856,0.03958371210210862,2.816243623198483,False,123
1,36,0.9529760275658219,2.6538950207746357,4.7181689435586245,False,85,0.497,2.43,3.07,False,17
1,37,0.48833431920327514,0.0044916294642825885,2.8643192196702025,False,131,0.49047965114196573,0.015906647870295144,2.8780996878603533,False,128
1,38,0.497,2.43,3.07,False,17,0.497,2.43,3.07,False,17
1,39,0.6833224762716619,2.473306126947438,3.3511593360554603,True,26,0.7652893827725278,2.5128846265604117,3.5663344017217113,True,30
1,40,0.2747084300102888,0.01333873631144463,2.772720290867305,False,210,0.05953866568554551,0.402671060839925,2.7900635304677475,False,81
1,41,0.05454065052461827,0.5539511026432756,2.850632942828349,False,87,0.056812093965897155,0.7166274243831972,2.870591632290047,False,75
1,42,0.497,2.43,3.07,False,17,0.06940731608913561,0.059996975498908374,2.7862896530418966,False,92
1,43,0.497,2.43,3.07,False,17,0.1393305851987949,0.02413977657356651,2.7863677600014425,False,129
1,44,0.497,2.43,3.07,False,17,0.04803329113104628,0.5535587149139256,2.806843121491241,False,85
1,45,0.20557655970728594,0.019630325179432674,2.8179751072108377,False,135,0.23989746298505832,0.012572858961624696,2.831732035449742,False,157
1,46,0.11489993896396529,0.02145968949666932,2.7797355925526204,False,177,0.1523800231511094,0.015936268425030365,2.7935788788975295,False,210
1,47,0.15707915263146457,1.8587527235399077,2.8775849507267743,True,48,0.2294318342504495,1.9939936735518398,2.9441251512551743,True,29
1,48,0.03418124527245345,0.3490603741555248,2.8361287834217124,False,71,0.19214665238442524,0.05378459872578567,2.8596391778351506,False,85
1,49,0.497,2.43,3.07,False,17,0.026246986405408325,1.271250327739225,2.8116610388849836,False,81
1,50,0.497,2.43,3.07,False,17,0.497,2.43,3.07,False,17
1,51,0.8028538862143971,2.5922459891199234,3.3707319788535113,False,40,0.19616027446004103,2.930979391761795,2.723084450959323,False,35
1,52,0.38282776699533977,2.763629378801956,2.805614971120581,False,46,0.7568672574977217,2.7814511771399957,2.855343394709348,False,35
1,53,0.9962623452322287,2.731824738452664,8.704833437103135,False,162,0.8764311862640237,2.6417826882690116,3.568784900584146,False,66
1,54,-0.029040680460707295,2.700071465574935,2.7874635175834177,False,49,-0.018533781959980584,2.7044841818062704,2.798367371740647,False,45
1,55,-0.017493364034283043,3.0171690949283403,2.8359763802374918,False,50,1.0426708277598569,2.853536242629425,3.0937532809832256,False,58
1,56,0.8598365799400817,2.6484785257699555,3.42041296974077,False,36,1.6141207163295612,2.8586016204805373,2.996777431439597,False,160
1,57,0.9969438815345972,2.7324123148332533,10.210039810547737,False,202,0.9206134979648186,2.674917313960349,3.7153353328967946,False,86
1,58,0.9636475821261031,2.625913733792336,5.0412378817869685,False,246,0.9671586189355236,2.6289676453285016,5.505197108725713,False,199
1,59,0.497,2.43,3.07,False,17,0.497,2.43,3.07,False,17
1,60,2.344571604145858,2.935931887079509,3.0378228524452733,False,326,0.021935002860651226,3.1612598536619796,2.797748968854808,False,70
1,61,0.497,2.43,3.07,False,17,0.9824382584181494,2.717224424977193,6.560731368773903,False,150
1,62,0.9879305390116466,2.5305406958250005,45.73676752438974,False,199,0.9832732505238521,2.5245370080185654,21.180853166364972,False,151
1,63,0.7307146446579833,2.7654862956828756,2.8019617346728998,False,38,0.8694238609236985,2.731016452461055,3.1331491468729546,False,40
1,64,0.9512696097486276,2.7287673938234995,3.6119869893006777,False,52,0.9445119433305895,2.706784456273961,4.000801315050401,False,69
1,65,0.9868560716993672,2.642202210438413,11.889360671013135,False,173,0.9815807006334291,2.6368745107937626,9.477151476002343,False,174
1,66,0.9802785461518403,2.655008694074644,7.209389153348668,False,147,0.9937221406677066,2.6731219364987258,35.07201979355342,False,240
1,67,0.09707643663376764,1.1650629423915042,2.860359176107473,False,43,0.11127832528525541,1.2469541648268303,2.8879228073065306,True,42
1,68,0.12195875047136934,1.1390910770066351,2.860710359344806,True,57,0.13496814975139676,1.2021220520561549,2.8877635469017,True,61
1,69,0.03381096024313496,0.44050195682990057,2.8160401836456566,False,109,0.034286977695784635,0.7510092087775243,2.8359299231622894,False,87
1,70,0.9897916400974374,2.6685037247588066,12.863160649786069,False,205,0.497,2.43,3.07,False,17
1,71,0.920970172695555,2.702462791347494,3.731366915554744,False,57,0.9550534915640816,2.719751586856947,4.371725464403336,False,75
1,72,0.98960795692299,2.6044843958946964,32.906687668692804,False,244,0.9907911714886912,2.6056757425362806,86.82255232506833,False,269
1,73,0.9821832440292554,2.5490919012075395,14.719926298604047,False,352,0.981614161873678,2.5492818232115604,15.292064925988832,False,281
1,74,0.497,2.43,3.07,False,17,0.497,2.43,3.07,False,17
1,75,0.497,2.43,3.07,False,17,0.497,2.43,3.07,False,17
1,76,-0.012618617511991668,2.5997252472319965,2.7468934481209084,False,54,1.7699417267480309,2.8064936499239255,2.8690355765251376,False,99
1,77,-0.019121782740003028,2.1471585730660334,2.7708867296699777,False,69,-1.119458302124628,2.5872839241389407,2.684965291899054,False,145
1,78,0.9890543506599241,2.6813353241307065,9.385821802231861,False,198,0.497,2.43,3.07,False,17
1,79,0.7867143888009381,2.6053589699666913,3.5409052282056788,True,34,0.8507999344295836,2.634857926985754,3.8353776670804423,True,65
1,80,0.4141742820926783,0.014599506174645935,2.8327611207686503,False,167,0.41839457922972223,0.019304577285708273,2.8465189573771856,False,172
1,81,0.94587497680588,2.800367185192516,0.04317433130548371,False,200,0.10533000576682254,0.018259243843512615,2.814038549595063,False,170
1,82,0.08993188507651564,1.4402214362333305,2.829424363868669,False,91,0.11758702671291184,1.5652272587152947,2.866298638820894,True,69
1,83,0.04910948161239101,2.118254529160163,2.80556171421965,False,71,0.07411816367102902,0.04044344441715963,2.794074750640555,False,177
1,84,0.7588353089877052,2.643579687076948,3.0678382201997403,False,43,0.9790526482614947,2.707068333867361,4.980906281817803,False,105
1,85,0.8869717505272383,2.5669135617825987,4.116398634925947,True,60,0.9025311441922492,2.5762000970127907,4.372884935955476,False,52
1,86,0.015608794385969073,1.9220314618510976,2.811726685424051,False,73,0.0390367233888154,0.2950462427582425,2.8296767751633736,False,79
1,87,0.9627660890359501,2.679687744164794,4.180684808669077,False,103,0.962438165481386,2.6797425240181667,4.409171374896389,False,161
1,88,0.9370097739405786,2.761212646699645,2.6921898547752683,False,44,0.884756241170663,2.7675021498247143,2.760371769101486,False,38
