,,no_bg,no_bg,no_bg,no_bg,no_bg,bg,bg,bg,bg,bg,cont,cont,cont,cont,cont,dis,dis,dis,dis,dis,deconv,deconv,deconv,deconv,deconv
,,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev
0,0,0.5940599079962108,2.429168586094877,3.2194416984165883,True,16,0.6346274743468443,2.4391999448778403,3.311719060022118,True,18,0.5677073116416654,2.239895940412772,3.293702527785164,True,23,0.5089288274157301,2.371703190205545,3.1399640126734423,True,54,0.497,2.43,3.07,False,17
0,1,0.7496897575559005,2.4318483185421025,3.7309957955001427,True,27,0.770245060869452,2.442412968031083,3.8501105422460316,True,28,0.5617878773196584,2.133145173646364,3.419484353536256,True,20,0.5335914773488427,2.251092112162445,3.324017756300668,True,11,0.5303135247531773,2.3002317701974975,3.414158409595194,True,19
0,2,0.6478104727448627,2.3824120196048106,3.3268312826447524,True,28,0.6306249777724319,2.3581101146320043,3.3442592940760445,True,23,0.5310853398892207,2.134835614747192,3.2522313076992915,True,61,0.5252463047164261,2.291893869163282,3.1790177047122725,True,12,0.497,2.43,3.07,False,17
0,3,0.008461975424944255,2.4235612390206067,2.779301992557443,True,39,0.16678356292990917,2.4496115857774226,2.8503594014681575,True,21,0.544387980834873,2.3901523982361055,3.120304576340835,True,30,0.43393750096856615,2.7382476209875883,2.8054762047024506,True,33,0.497,2.43,3.07,False,17
0,4,0.8784180418716934,2.438109555252511,4.894523081189299,True,44,0.8767017331972122,2.435401192637464,4.949889815923056,True,45,0.5865193829534454,2.0235790565229093,3.5667059363791824,True,57,0.5610488951697153,2.1135683091374995,3.486872463603033,True,21,0.497,2.43,3.07,False,17
0,5,0.6502617149933718,2.4031891276506108,3.3476964164938354,True,26,0.682657262176028,2.414319316111048,3.4459100524480366,True,30,0.5472099215174311,2.167513282154684,3.293705120957455,True,80,0.5218403468487949,2.3086074257405635,3.1930534739363723,True,32,0.497,2.43,3.07,False,17
0,6,0.13048501211564606,2.841475258838433,2.8412742763117773,False,54,-0.5003252684894847,2.403786535020641,2.709797557804216,True,27,0.36725684596211416,2.512285868135329,2.9660771024525636,False,49,0.2400215332173269,2.8422726646864453,2.840993361147954,False,44,0.497,2.43,3.07,False,17
0,7,0.09154943055230336,2.8293927167031625,2.831368141487079,False,56,-0.27705831310499845,2.0677144911911602,2.693235503212757,True,45,-0.04049829138647834,2.043230537999834,2.7709281506472023,True,61,0.449485576952145,2.8270766978159596,2.834553132977166,False,49,1.379365675937839,2.8657420142210324,0.08182114895303833,True,36
0,8,-0.2542091169799458,1.7910911715354254,2.6793839422457473,True,48,-0.32043583665358016,2.8755196939010292,2.8681510740507434,False,42,0.05859028691819685,2.805253105821055,2.8210693694612887,False,47,-0.1324642787728671,4.784935712084479,3.1022340604632275,True,65,0.497,2.43,3.07,False,17
0,9,0.4446489156721197,2.4299989235266843,2.99058104039582,True,18,0.49804859696078146,2.4300000180032613,3.0654050714081245,True,8,0.5847115939912271,2.307624192499192,3.224579997916721,True,34,0.49149757761888563,2.456903348409848,3.0161752410085256,True,16,0.497,2.43,3.07,False,17
