,,chisqr,redchi,_val,init_value,stderr,correl
0,0,89.23477677567479,0.6561380645270205,"['0.813', '2.1', '4.81']","['0.497', '2.43', '3.07']","['0.991', '1.13', '11.1']","[{'tau1': '0.998', 'tau2': '0.999'} {'A1': '0.998', 'tau2': '0.995'}
 {'A1': '0.999', 'tau1': '0.995'}]"
0,1,132.70572263171243,0.9616356712442929,"['0.796', '2.43', '3.07']","['0.497', '2.43', '3.07']","['1.83', '0.806', '3']","[{'tau1': '0.954', 'tau2': '0.943'} {'A1': '0.954', 'tau2': '0.801'}
 {'A1': '0.943', 'tau1': '0.801'}]"
0,2,130.29250859012546,0.9373561769073775,"['0.812', '2.2', '4.26']","['0.497', '2.43', '3.07']","['4.08', '3.85', '31.1']","[{'tau1': '1', 'tau2': '1'} {'A1': '1', 'tau2': '0.999'}
 {'A1': '1', 'tau1': '0.999'}]"
0,3,115.0247380097349,0.8275161007894597,"['0.81', '2.27', '3.91']","['0.497', '2.43', '3.07']","['1.12', '0.951', '6.1']","[{'tau1': '0.994', 'tau2': '0.996'} {'A1': '0.994', 'tau2': '0.982'}
 {'A1': '0.996', 'tau1': '0.982'}]"
0,4,127.87896709228994,0.9472516080910366,"['0.873', '2.2', '4.97']","['0.497', '2.43', '3.07']","['1.45', '1.64', '23.7']","[{'tau1': '0.999', 'tau2': '0.999'} {'A1': '0.999', 'tau2': '0.997'}
 {'A1': '0.999', 'tau1': '0.997'}]"
0,5,127.96656207598323,0.9206227487480808,"['0.133', '0.0674', '2.73']","['0.497', '2.43', '3.07']","['0.0189', '0.0641', '0.05']","[{'tau1': '0.282', 'tau2': '0.82'} {'A1': '0.282', 'tau2': '0.226'}
 {'A1': '0.82', 'tau1': '0.226'}]"
0,6,78.60889047062543,0.5696296410914886,"['0.81', '2.32', '3.7']","['0.497', '2.43', '3.07']","['0.821', '0.633', '3.52']","[{'tau1': '0.989', 'tau2': '0.991'} {'A1': '0.989', 'tau2': '0.961'}
 {'A1': '0.991', 'tau1': '0.961'}]"
0,7,100.34841164540464,0.721931019031688,"['0.589', '2.11', '3.71']","['0.497', '2.43', '3.07']","['2.05', '2.08', '5.4']","[{'tau1': '0.998', 'tau2': '0.999'} {'A1': '0.998', 'tau2': '0.995'}
 {'A1': '0.999', 'tau1': '0.995'}]"
0,8,140.38944676351412,1.0322753438493686,"['0.386', '1.59', '3']","['0.497', '2.43', '3.07']","['0.186', '0.339', '0.312']","[{'tau1': '0.776', 'tau2': '0.906'} {'A1': '0.776', 'tau2': '0.451'}
 {'A1': '0.906', 'tau1': '0.451'}]"
0,9,114.4147049705818,0.8475163331154207,"['0.207', '0.912', '2.82']","['0.497', '2.43', '3.07']","['0.0752', '0.343', '0.131']","[{'tau1': '0.848', 'tau2': '0.948'} {'A1': '0.848', 'tau2': '0.693'}
 {'A1': '0.948', 'tau1': '0.693'}]"
0,10,134.2821222087021,0.9730588565847978,"['0.803', '2.28', '3.81']","['0.497', '2.43', '3.07']","['0.796', '0.686', '3.67']","[{'tau1': '0.985', 'tau2': '0.988'} {'A1': '0.985', 'tau2': '0.948'}
 {'A1': '0.988', 'tau1': '0.948'}]"
0,11,130.36974539132154,0.9586010690538349,"['0.852', '2.2', '4.63']","['0.497', '2.43', '3.07']","['1.87', '2.12', '20.9']","[{'tau1': '0.999', 'tau2': '1'} {'A1': '0.999', 'tau2': '0.998'}
 {'A1': '1', 'tau1': '0.998'}]"
0,12,121.22047780154973,0.8784092594315198,"['0.725', '2.23', '3.74']","['0.497', '2.43', '3.07']","['1.29', '1.18', '4.26']","[{'tau1': '0.994', 'tau2': '0.996'} {'A1': '0.994', 'tau2': '0.981'}
 {'A1': '0.996', 'tau1': '0.981'}]"
0,13,133.90501596483656,0.9774088756557413,"['0.178', '0.983', '2.75']","['0.497', '2.43', '3.07']","['0.106', '0.709', '0.138']","[{'tau1': '0.896', 'tau2': '0.927'} {'A1': '0.896', 'tau2': '0.699'}
 {'A1': '0.927', 'tau1': '0.699'}]"
0,14,100.2774673099988,0.7373343184558735,"['0.167', '0.906', '2.73']","['0.497', '2.43', '3.07']","['0.0842', '0.481', '0.125']","[{'tau1': '0.895', 'tau2': '0.957'} {'A1': '0.895', 'tau2': '0.772'}
 {'A1': '0.957', 'tau1': '0.772'}]"
0,15,101.6050278921858,0.7582464768073567,"['0.16', '0.116', '2.8']","['0.497', '2.43', '3.07']","['0.0189', '0.0765', '0.0529']","[{'tau1': '0.405', 'tau2': '0.837'} {'A1': '0.405', 'tau2': '0.326'}
 {'A1': '0.837', 'tau1': '0.326'}]"
0,16,94.26497940466808,0.6781653194580438,"['0.676', '2.29', '3.49']","['0.497', '2.43', '3.07']","['2.79', '2.1', '6.28']","[{'tau1': '0.998', 'tau2': '0.999'} {'A1': '0.998', 'tau2': '0.993'}
 {'A1': '0.999', 'tau1': '0.993'}]"
0,17,99.15521973803325,0.7133469045901673,"['0.691', '2.28', '3.51']","['0.497', '2.43', '3.07']","['1.16', '0.947', '2.66']","[{'tau1': '0.99', 'tau2': '0.992'} {'A1': '0.99', 'tau2': '0.964'}
 {'A1': '0.992', 'tau1': '0.964'}]"
0,18,92.58706613690069,0.670920769107976,"['0.688', '2.18', '3.77']","['0.497', '2.43', '3.07']","['2.98', '2.78', '9.75']","[{'tau1': '0.999', 'tau2': '1'} {'A1': '0.999', 'tau2': '0.998'}
 {'A1': '1', 'tau1': '0.998'}]"
0,19,122.21224221364196,0.8855959580698692,"['0.761', '2.43', '3.07']","['0.497', '2.43', '3.07']","['2.26', '0.952', '3.31']","[{'tau1': '0.964', 'tau2': '0.967'} {'A1': '0.964', 'tau2': '0.866'}
 {'A1': '0.967', 'tau1': '0.866'}]"
0,20,109.00855662477208,0.795682895071329,"['0.133', '0.113', '2.74']","['0.497', '2.43', '3.07']","['0.0195', '0.0948', '0.0505']","[{'tau1': '0.422', 'tau2': '0.841'} {'A1': '0.422', 'tau2': '0.342'}
 {'A1': '0.841', 'tau1': '0.342'}]"
0,21,131.30796731367138,0.9515070095193578,"['0.295', '1.2', '2.98']","['0.497', '2.43', '3.07']","['0.159', '0.43', '0.275']","[{'tau1': '0.939', 'tau2': '0.977'} {'A1': '0.939', 'tau2': '0.861'}
 {'A1': '0.977', 'tau1': '0.861'}]"
0,22,120.27539320477254,0.8715608203244387,"['0.139', '0.0165', '2.71']","['0.497', '2.43', '3.07']","['0.0173', '0.0726', '0.0465']","[{'tau1': '0.208', 'tau2': '0.802'} {'A1': '0.208', 'tau2': '0.165'}
 {'A1': '0.802', 'tau1': '0.165'}]"
0,23,110.35073302172496,0.8114024486891541,"['0.784', '2.33', '3.55']","['0.497', '2.43', '3.07']","['0.899', '0.683', '2.79']","[{'tau1': '0.98', 'tau2': '0.98'} {'A1': '0.98', 'tau2': '0.921'}
 {'A1': '0.98', 'tau1': '0.921'}]"
