,,,A1,tau1,tau2
0,0,_val,0.8133163685041824,2.1048615367617654,4.814746544537588
0,0,init_value,0.497,2.43,3.07
0,0,stderr,0.9913052746012738,1.1304025421829484,11.149688309550067
0,0,correl,"{'tau1': '0.998', 'tau2': '0.999'}","{'A1': '0.998', 'tau2': '0.995'}","{'A1': '0.999', 'tau1': '0.995'}"
0,1,_val,0.7963968139745989,2.4299670908610826,3.074600572650474
0,1,init_value,0.497,2.43,3.07
0,1,stderr,1.8341982835836603,0.8064070900797694,2.9950718349189573
0,1,correl,"{'tau1': '0.954', 'tau2': '0.943'}","{'A1': '0.954', 'tau2': '0.801'}","{'A1': '0.943', 'tau1': '0.801'}"
0,2,_val,0.8117046165175223,2.2049073491575735,4.263312846969959
0,2,init_value,0.497,2.43,3.07
0,2,stderr,4.076326724644506,3.8523894855750047,31.07114224948431
0,2,correl,"{'tau1': '1', 'tau2': '1'}","{'A1': '1', 'tau2': '0.999'}","{'A1': '1', 'tau1': '0.999'}"
0,3,_val,0.8102423744734535,2.2729072720371235,3.9121910031406664
0,3,init_value,0.497,2.43,3.07
0,3,stderr,1.123982554079364,0.9513776314894298,6.0952724730744565
0,3,correl,"{'tau1': '0.994', 'tau2': '0.996'}","{'A1': '0.994', 'tau2': '0.982'}","{'A1': '0.996', 'tau1': '0.982'}"
0,4,_val,0.8732164057241456,2.2022692381257185,4.974091427916181
0,4,init_value,0.497,2.43,3.07
0,4,stderr,1.446738768981263,1.6443726096179718,23.71487867397403
0,4,correl,"{'tau1': '0.999', 'tau2': '0.999'}","{'A1': '0.999', 'tau2': '0.997'}","{'A1': '0.999', 'tau1': '0.997'}"
0,5,_val,0.1328637534817625,0.06741861946641858,2.734948669335901
0,5,init_value,0.497,2.43,3.07
0,5,stderr,0.018855786217324776,0.06414273902367748,0.050027988153904156
0,5,correl,"{'tau1': '0.282', 'tau2': '0.82'}","{'A1': '0.282', 'tau2': '0.226'}","{'A1': '0.82', 'tau1': '0.226'}"
0,6,_val,0.8104057230578192,2.3158020149327,3.7029433296295258
0,6,init_value,0.497,2.43,3.07
0,6,stderr,0.8206426657130779,0.6333779084358458,3.5242206931603435
0,6,correl,"{'tau1': '0.989', 'tau2': '0.991'}","{'A1': '0.989', 'tau2': '0.961'}","{'A1': '0.991', 'tau1': '0.961'}"
0,7,_val,0.5886764375701634,2.1116862358441932,3.7088691631076705
0,7,init_value,0.497,2.43,3.07
0,7,stderr,2.0494600706693102,2.0755674393761896,5.4014579362049195
0,7,correl,"{'tau1': '0.998', 'tau2': '0.999'}","{'A1': '0.998', 'tau2': '0.995'}","{'A1': '0.999', 'tau1': '0.995'}"
0,8,_val,0.38554805901387357,1.5895713120704804,2.996290781174262
0,8,init_value,0.497,2.43,3.07
0,8,stderr,0.1860749740494294,0.33853326669294587,0.31154966265123335
0,8,correl,"{'tau1': '0.776', 'tau2': '0.906'}","{'A1': '0.776', 'tau2': '0.451'}","{'A1': '0.906', 'tau1': '0.451'}"
0,9,_val,0.2071419639971186,0.9123072008548658,2.815231126501904
0,9,init_value,0.497,2.43,3.07
0,9,stderr,0.0751509204417601,0.3428480397184711,0.13052461112492006
0,9,correl,"{'tau1': '0.848', 'tau2': '0.948'}","{'A1': '0.848', 'tau2': '0.693'}","{'A1': '0.948', 'tau1': '0.693'}"
0,10,_val,0.8028339359982237,2.2847334835456485,3.8142176648341755
0,10,init_value,0.497,2.43,3.07
0,10,stderr,0.7960669667502259,0.6855530765680371,3.6691409144571434
0,10,correl,"{'tau1': '0.985', 'tau2': '0.988'}","{'A1': '0.985', 'tau2': '0.948'}","{'A1': '0.988', 'tau1': '0.948'}"
0,11,_val,0.8519321058796809,2.2002063837300567,4.634759360883676
0,11,init_value,0.497,2.43,3.07
0,11,stderr,1.8694458430617433,2.1249385604584408,20.892676612794133
0,11,correl,"{'tau1': '0.999', 'tau2': '1'}","{'A1': '0.999', 'tau2': '0.998'}","{'A1': '1', 'tau1': '0.998'}"
0,12,_val,0.7252537298628488,2.2302943177387102,3.7395566350091807
0,12,init_value,0.497,2.43,3.07
0,12,stderr,1.2917075223784622,1.1802407992527604,4.261533841722947
0,12,correl,"{'tau1': '0.994', 'tau2': '0.996'}","{'A1': '0.994', 'tau2': '0.981'}","{'A1': '0.996', 'tau1': '0.981'}"
0,13,_val,0.17812487984661884,0.9830494822458804,2.752767836948195
0,13,init_value,0.497,2.43,3.07
0,13,stderr,0.10645841126639126,0.7085722921362677,0.13794568443316946
0,13,correl,"{'tau1': '0.896', 'tau2': '0.927'}","{'A1': '0.896', 'tau2': '0.699'}","{'A1': '0.927', 'tau1': '0.699'}"
0,14,_val,0.1665457953150431,0.9059727494246359,2.734103128528375
0,14,init_value,0.497,2.43,3.07
0,14,stderr,0.08420202204553526,0.48114111086958655,0.1251757994390225
0,14,correl,"{'tau1': '0.895', 'tau2': '0.957'}","{'A1': '0.895', 'tau2': '0.772'}","{'A1': '0.957', 'tau1': '0.772'}"
0,15,_val,0.15950717961750738,0.1155735114975629,2.795547812706179
0,15,init_value,0.497,2.43,3.07
0,15,stderr,0.018892951555549306,0.07651272562267886,0.05287592398409755
0,15,correl,"{'tau1': '0.405', 'tau2': '0.837'}","{'A1': '0.405', 'tau2': '0.326'}","{'A1': '0.837', 'tau1': '0.326'}"
0,16,_val,0.6764508380450003,2.2865570283109222,3.4898364106786763
0,16,init_value,0.497,2.43,3.07
0,16,stderr,2.790675504129576,2.098018873954228,6.280789220318982
0,16,correl,"{'tau1': '0.998', 'tau2': '0.999'}","{'A1': '0.998', 'tau2': '0.993'}","{'A1': '0.999', 'tau1': '0.993'}"
0,17,_val,0.691398732960639,2.2837395956038335,3.5113878371628244
0,17,init_value,0.497,2.43,3.07
0,17,stderr,1.16342545984829,0.9465591611683062,2.657157543252721
0,17,correl,"{'tau1': '0.99', 'tau2': '0.992'}","{'A1': '0.99', 'tau2': '0.964'}","{'A1': '0.992', 'tau1': '0.964'}"
0,18,_val,0.6881681666051449,2.1804172985276016,3.774175929749563
0,18,init_value,0.497,2.43,3.07
0,18,stderr,2.975417715324811,2.7823869556235006,9.74797130520589
0,18,correl,"{'tau1': '0.999', 'tau2': '1'}","{'A1': '0.999', 'tau2': '0.998'}","{'A1': '1', 'tau1': '0.998'}"
0,19,_val,0.7613334177167586,2.4295008040789043,3.0732872768548374
0,19,init_value,0.497,2.43,3.07
0,19,stderr,2.257548671779943,0.9515978531362699,3.31040135299171
0,19,correl,"{'tau1': '0.964', 'tau2': '0.967'}","{'A1': '0.964', 'tau2': '0.866'}","{'A1': '0.967', 'tau1': '0.866'}"
0,20,_val,0.13256724444137946,0.11267234280338312,2.73711391830804
0,20,init_value,0.497,2.43,3.07
0,20,stderr,0.019479008693227412,0.09479944336653534,0.050533774515721094
0,20,correl,"{'tau1': '0.422', 'tau2': '0.841'}","{'A1': '0.422', 'tau2': '0.342'}","{'A1': '0.841', 'tau1': '0.342'}"
0,21,_val,0.29520897012277403,1.1956313986958165,2.97915540220804
0,21,init_value,0.497,2.43,3.07
0,21,stderr,0.15868275271527896,0.4299293824898944,0.2745473770574044
0,21,correl,"{'tau1': '0.939', 'tau2': '0.977'}","{'A1': '0.939', 'tau2': '0.861'}","{'A1': '0.977', 'tau1': '0.861'}"
0,22,_val,0.13909574624714405,0.016479099094978356,2.708626219456635
0,22,init_value,0.497,2.43,3.07
0,22,stderr,0.017348458603345596,0.07255636048041046,0.04652000153584966
0,22,correl,"{'tau1': '0.208', 'tau2': '0.802'}","{'A1': '0.208', 'tau2': '0.165'}","{'A1': '0.802', 'tau1': '0.165'}"
0,23,_val,0.783539433525059,2.3305756785545277,3.5496832283731514
0,23,init_value,0.497,2.43,3.07
0,23,stderr,0.8987452691701293,0.6833993732179433,2.786929511197573
0,23,correl,"{'tau1': '0.98', 'tau2': '0.98'}","{'A1': '0.98', 'tau2': '0.921'}","{'A1': '0.98', 'tau1': '0.921'}"
0,24,_val,0.7910986614785063,2.194559263189499,4.194961384884404
0,24,init_value,0.497,2.43,3.07
0,24,stderr,0.8490389020148295,0.78262138719827,5.777188332631058
0,24,correl,"{'tau1': '0.993', 'tau2': '0.997'}","{'A1': '0.993', 'tau2': '0.983'}","{'A1': '0.997', 'tau1': '0.983'}"
0,25,_val,0.7741569428818527,2.0365743811247805,4.720850959685878
0,25,init_value,0.497,2.43,3.07
0,25,stderr,0.6840721638109625,0.8027662925762351,6.363149968248844
0,25,correl,"{'tau1': '0.996', 'tau2': '0.999'}","{'A1': '0.996', 'tau2': '0.991'}","{'A1': '0.999', 'tau1': '0.991'}"
0,26,_val,0.8311638650101973,2.175168310837259,4.5851635829459285
0,26,init_value,0.497,2.43,3.07
0,26,stderr,1.057318751088773,1.1303501146227801,10.878010328794733
0,26,correl,"{'tau1': '0.997', 'tau2': '0.999'}","{'A1': '0.997', 'tau2': '0.993'}","{'A1': '0.999', 'tau1': '0.993'}"
0,27,_val,0.19824017205260636,0.8053103985593502,2.949401206428363
0,27,init_value,0.497,2.43,3.07
0,27,stderr,0.056409997625127925,0.2798656628043691,0.11637004678669213
0,27,correl,"{'tau1': '0.814', 'tau2': '0.947'}","{'A1': '0.814', 'tau2': '0.673'}","{'A1': '0.947', 'tau1': '0.673'}"
0,28,_val,0.8062725022289152,2.2778092137208588,3.879127824879145
0,28,init_value,0.497,2.43,3.07
0,28,stderr,1.2042477027568432,0.9796217579084704,6.333744901674229
0,28,correl,"{'tau1': '0.995', 'tau2': '0.997'}","{'A1': '0.995', 'tau2': '0.985'}","{'A1': '0.997', 'tau1': '0.985'}"
0,29,_val,0.14230483920299375,0.04985511034739987,2.811674143185768
0,29,init_value,0.497,2.43,3.07
0,29,stderr,0.01678356793896298,0.03992690670570561,0.04723436246139929
0,29,correl,"{'tau1': '0.193', 'tau2': '0.802'}","{'A1': '0.193', 'tau2': '0.152'}","{'A1': '0.802', 'tau1': '0.152'}"
0,30,_val,0.145369366643459,0.03667625650872153,2.7260940887295515
0,30,init_value,0.497,2.43,3.07
0,30,stderr,0.021251727454050462,0.06759178618140746,0.058631382770452246
0,30,correl,"{'tau1': '0.279', 'tau2': '0.818'}","{'A1': '0.279', 'tau2': '0.225'}","{'A1': '0.818', 'tau1': '0.225'}"
0,31,_val,0.6013075306748614,2.4291140348261178,3.0711343303907626
0,31,init_value,0.497,2.43,3.07
0,31,stderr,2.848881001695812,1.410146065396046,2.580959545316314
0,31,correl,"{'tau1': '0.979', 'tau2': '0.984'}","{'A1': '0.979', 'tau2': '0.929'}","{'A1': '0.984', 'tau1': '0.929'}"
0,32,_val,0.7370851010323729,2.2304996580203986,3.7808935990948056
0,32,init_value,0.497,2.43,3.07
0,32,stderr,0.950450812216861,0.8642990554309065,3.440630651868262
0,32,correl,"{'tau1': '0.989', 'tau2': '0.993'}","{'A1': '0.989', 'tau2': '0.965'}","{'A1': '0.993', 'tau1': '0.965'}"
0,33,_val,0.7578869677402271,2.4277865046006766,3.0826967285273685
0,33,init_value,0.497,2.43,3.07
0,33,stderr,8.842379226371804,2.311091499115717,17.176754391336384
0,33,correl,"{'tau1': '0.99', 'tau2': '0.998'}","{'A1': '0.99', 'tau2': '0.979'}","{'A1': '0.998', 'tau1': '0.979'}"
0,34,_val,0.769154583012805,2.244664167460366,3.8492622385971336
0,34,init_value,0.497,2.43,3.07
