,,bg,bg,bg,no_bg,no_bg,no_bg
,,A1,tau1,tau2,A1,tau1,tau2
0,0,0.5035183879949285,2.3927909904569513,3.0364802532583117,0.5040014913412227,2.4256355044135547,2.989016796003284
0,1,0.49128076574076895,2.601362674393833,2.924161010308551,0.48987495886314225,2.709510794644904,2.804897029277742
0,2,0.5050608208803611,2.183122593949567,3.2823142616865892,0.505801381311661,2.1994990453865766,3.2524754914464893
0,3,0.5098918282214513,2.0975128344858476,3.330788550511024,0.5106742202211966,2.11165160038518,3.3032600854027443
0,4,0.4913027533438262,2.5103799498865507,3.038834518036871,0.49142932888043794,2.554248356152022,2.9818485514218382
0,5,0.5071835142857006,2.219729472713574,3.2098419243326215,0.5079006113449009,2.238230144740052,3.1776095646493685
0,6,0.5068076571520551,2.1435758370836346,3.310696332346145,0.5075734468316908,2.1588399411649375,3.281951108076286
0,7,0.49081702677401073,2.496658911839962,3.0621700754492864,0.49102644493983494,2.5371008713027954,3.0084892744305036
0,8,0.5271493548534989,1.8536517779413926,3.4256747734173674,0.5279666991597851,1.8639584580287576,3.402556147151005
0,9,0.5123899157740348,1.9852826944315245,3.441715506830315,0.5131923507617664,1.9967682064099623,3.4172917079787934
0,10,0.5025773766633866,2.45331516510799,2.9716406701634783,0.5028419613454527,2.4971871287059026,2.9129452544350998
0,11,0.5114352007125701,2.81219596664714,2.8122336735384827,0.4568874764898265,2.8009574103708728,2.8014630978072907
0,12,0.49949438060032364,2.4490012474332854,3.015178511335175,0.49981748082794897,2.4885689708358933,2.9611977641578986
0,13,0.5069014883903734,2.3100711682428714,3.099190760754362,0.5075458392719912,2.3354183387345633,3.0592074334879995
0,14,0.5075917081596384,2.15830408767946,3.282402503474982,0.50835383226844,2.174310546475624,3.252764850908466
0,15,0.4084688624300803,2.7752927540070407,2.771635213646976,0.6017046690029615,2.7615915600340095,2.762998954667934
0,16,0.491187778646241,2.481949998793214,3.0761725528686084,0.49146302275914455,2.52026907426576,3.0243608092154126
0,17,1.004830150010291,2.8194638870809174,2.8161206168786332,0.4911361215734406,2.808452483758034,2.8085637304747464
0,18,0.5065489944400693,2.219617366353204,3.2178226734137914,0.5072676462504171,2.238005088697393,3.185713818745972
0,19,0.5060981133510397,2.1059296506594616,3.367023017465071,0.5068869488527227,2.120015100438049,3.339482214906337
0,20,0.4988502233961492,2.1986426444290466,3.3394329504708398,0.49957542770169283,2.2144047199346986,3.310560484444651
0,21,0.6473752603616751,2.821518405424403,2.8215500387371883,0.48244016288460234,2.8101697017847376,2.8109366362799983
0,22,0.5212163691630103,2.7658503275926867,2.765836046864497,0.3097375514121981,2.7549449605941847,2.754925315283756
0,23,0.5312354213491659,2.799655710247998,2.793962447104994,0.3304645833925061,2.7878626407430547,2.785019960759261
0,24,0.48379262602685064,2.7072419464147877,2.882904948941836,0.5791861815012759,2.7859000802770653,2.7909285724573474
0,25,0.5110779850548407,2.1943545477689694,3.1937873181946737,0.5118160102108406,2.2125293729757978,3.1617079648368707
0,26,0.547412361236908,2.767909810997627,2.7677916969885996,0.5225432020106702,2.7568837248498848,2.7568025996251184
0,27,0.5073275204737325,2.178008963618998,3.2607717465652946,0.5080660399070935,2.1944686917897718,3.2308531404733305
0,28,0.5326864459753107,2.8129696143998646,2.8127250212862442,0.5641417937924594,2.802298525718664,2.801289923078823
0,29,0.5074594235899382,2.3198327023746232,3.0799656491217147,0.5080823231699128,2.346089168309955,3.0390982970730405
0,30,0.5151271009870514,1.96462666059484,3.433996300477031,0.5159234577686057,1.975799167955971,3.410043032002529
0,31,0.5080733104025541,2.1344733437596672,3.306558677653075,0.5088406943580781,2.1495548095528902,3.278026042488354
0,32,0.48822544127584183,2.777751833966973,2.7782230574078985,0.6267019138113928,2.7629544989619688,2.7738667615100137
0,33,0.49063135271719494,2.4562759635656484,3.1154827268195593,0.49101436616479543,2.490250335028518,3.067828503303544
0,34,0.48583862188839594,2.7261707014697034,2.8337146044869654,0.49218056114740233,2.7709944115676404,2.7711157966205686
0,35,0.4978880411979469,2.2925716842199697,3.232652461081464,0.49854871696261416,2.3129572594244485,3.1987358551485423
0,36,0.48749821407117994,2.6268373153914295,2.938707082302469,0.488749677317565,2.7789655789437546,2.779063495086576
0,37,0.5007050493977144,2.2489984079870387,3.2529001402259254,0.501396717298758,2.2674056159539573,3.2210999510296325
0,38,0.48377631971649493,2.6035531116600694,3.01410436800904,0.4832498539564834,2.670046704011211,2.936602148742328
0,39,0.5141579837116965,2.004251633429365,3.396227286105547,0.5151346898094902,2.016700064074139,3.37098097738398
0,40,0.4947063105404076,2.233335492579675,3.3467976050840003,0.4954180460330423,2.2499410933435104,3.317025390247121
0,41,0.4860083782692555,2.6369485962595287,2.9443382776556097,0.46617717497153455,2.7868866266272154,2.7874926281561527
0,42,0.5001473867581888,2.1240632086102336,3.4176298866028025,0.5009111794080315,2.1376105824546223,3.3910781970146204
0,43,0.5040610795815914,2.2152972079030535,3.2540165245179415,0.5047835099826151,2.2329432645677394,3.2227979411989858
0,44,0.49340143954383897,2.3251563470057675,3.2469137982802727,0.49403266453222405,2.3464193232558004,3.212252492778237
0,45,0.4955136989697299,2.336319367181156,3.2067158675601566,0.4961095519883578,2.358353731388713,3.171516819872672
0,46,0.1072918156917903,2.82445453363421,2.8098875166891446,0.44448725552376955,2.800643304410719,2.800343306518958
0,47,0.5016151410070978,2.251518182574601,3.238473528486123,0.5023072074951022,2.2703508127152783,3.2061308192012197
0,48,0.4983931683381606,2.257328956660527,3.270936753014267,0.4990984052070514,2.276176608568355,3.2384126370347563
0,49,0.45008709635108196,2.7795912368546825,2.7779612817191417,0.46873064783596347,2.7678899770400367,2.767580043086074
0,50,0.48722500927518436,2.5787582058952796,3.002823965984745,0.48686190102175025,2.641417236001294,2.9281487528370147
0,51,0.49429929297837405,2.4911395714738536,3.026122792880709,0.4944845594763621,2.5336243592200036,2.970159778910535
0,52,0.6899424115753562,2.778234746042738,2.7785933297133893,0.4545050506685092,2.7676547143679677,2.767165245575273
0,53,0.485674032326493,2.753514848041649,2.752861685881248,0.4953710092357413,2.7427203906830027,2.741721143455801
0,54,0.494432228662316,2.466722231713098,3.055328657492292,0.49473029983443695,2.5040119246598938,3.004535479684735
0,55,0.5090274228943723,2.1537093103465175,3.2704703174478014,0.5097953516679538,2.1698516525442098,3.2405894082172653
0,56,0.4879658569597154,2.542147812378745,3.039924325149098,0.4879469427095764,2.591299101828176,2.9780612293130595
0,57,0.22773713659036257,2.7932818208174526,2.7940900083400853,0.4845242931336841,2.782850812969206,2.783308483345683
0,58,0.5064277407128396,2.3374226832449336,3.0704882467841585,0.5070225674594445,2.364964133572469,3.0283446313822355
0,59,0.4952084979313654,2.4940831766555513,3.011171361245225,0.49536260903451423,2.539249909951937,2.9522050293240696
0,60,0.5039167367398981,2.2698428307479355,3.18688815165515,0.5046034458458111,2.290735859436556,3.152008899709889
0,61,0.4977439902654577,2.240823477286591,3.2998094772480653,0.49845357667370804,2.2584621361916386,3.2687588108587757
0,62,0.49029514918701084,2.4961931057065434,3.0692060946979542,0.49051362732840587,2.535811831125906,3.0164535187640618
0,63,0.5057987482330827,2.088711795525715,3.3924737382503083,0.5065754812328044,2.1019494987768903,3.3661542810500586
0,64,0.4969559092876638,2.4209716755908564,3.0819508575124135,0.49739635279151584,2.4533345544908602,3.035623171095556
0,65,0.24402591822747802,2.7893578105827355,2.8014687330612476,0.3797288583532735,2.7863817277733296,2.7883368117284415
0,66,0.49835080315531516,2.336144902015288,3.1718862766447544,0.49895722277791643,2.3597812559669844,3.1345327261906704
0,67,0.505337895628712,2.180064597442256,3.282754509745381,0.5060933833064591,2.1966645065574117,3.252449079917788
0,68,0.500082843150811,2.4569528334681907,2.99786279348393,0.5003617511734109,2.4985752283477107,2.941832451643643
0,69,0.49366563555131465,2.3832781280472206,3.170220416790807,0.4942075632325255,2.4092931002561233,3.1306587929793803
0,70,0.5027455928624368,2.2441622490141926,3.233801028541838,0.5034526983157077,2.2631334454616505,3.201097411294419
0,71,0.4893039686894584,2.6306054269049763,2.911638218480737,0.5548285925235509,2.7684091367875476,2.7628375334825126
0,72,0.49983671409870944,2.388185152513608,3.0877827832962805,0.5003457559548594,2.4178553338066275,3.0440093517028393
0,73,0.5116974847411653,2.047042640883521,3.3772902759834134,0.5125943934317058,2.059867410679096,3.3516795055646282
0,74,0.6032420319295363,2.7600504654371263,2.759459194737135,0.12652057742821637,2.7491466487555765,2.7488410701248847
0,75,0.4901418539702251,2.8041481858929487,2.8007322614254204,0.868338817033871,2.7895642811463186,2.8017588606415798
0,76,0.3584203307292295,2.793611513446381,2.7975638617387677,0.509221926355448,2.7854376596444403,2.78474056488165
0,77,0.49434268272206666,2.736000061292109,2.735846025290649,0.5878559023845562,2.7228045855560055,2.7286925434254674
0,78,0.5004862834160407,2.253180822630346,3.250318854906193,0.5011800972408647,2.271909384258334,3.218086261760512
0,79,0.5173867625590244,1.9649982079810138,3.405610997140638,0.518193522672355,1.9765110047497554,3.3810990518680626
0,80,0.49768203820585644,2.311990762343156,3.210663813370718,0.4983232841578537,2.333660983086583,3.175364111433429
0,81,0.5071779413839389,2.1993397038518623,3.2356708262012526,0.5079189070543076,2.217082809006491,3.204100469360421
0,82,0.4953331440728222,2.4828396055728277,3.02383643589756,0.49554912855372824,2.5257369297135,2.966972599685907
0,83,0.48347282349467646,2.7426447650275776,2.8421289622664654,0.6371475104564119,2.7834768150233433,2.7833425503018505
0,84,0.5019845768293075,2.327269900946264,3.138206488188909,0.5025981197473799,2.3515751932025015,3.0999201634359292
0,85,0.31943285147771416,2.7929497624734845,2.7922990989202305,-1.1576888947137414,2.759742790892564,2.769961817400364
